id;identify;biz_code;biz_desc;biz_icon;biz_title;link;fav_cate;created_date
1;barring fairly;direct into;magnificent an;owlishly lest cue;forelimb;lecture jellybeans empty;FRIEND;2024-08-20T17:09:31
2;tom-tom beside woot;dimly pro;following warped;gummy notwithstanding because;whenever mysteriously once;although further under;FRIEND;2024-08-20T10:06:55
3;eek canine check;furthermore nor however;jubilant spruce swiftly;fix with;sardine;aw abaft gah;FRIEND;2024-08-20T18:03:38
4;instead ah;ugly round;cinnamon;supposing;swiftly;beyond;PROD;2024-08-21T05:16:09
5;frayed robin whoever;lopsided;parse supposing;wake;outmanoeuvre;tone pitch tidy;PROD;2024-08-21T03:43:59
6;pish;perform;by ha;compensation;impassioned sardine whose;when bitterly extra-small;PROD;2024-08-20T13:45:22
7;mmm;during dimple upright;yet truly;though ah regularly;off doubtfully how;atop pro;FRIEND;2024-08-21T00:34:54
8;lad;sting until;texture weekly yowza;ick sicken hark;times diligently hometown;apud smite;FRIEND;2024-08-21T07:52:59
9;inasmuch;until pace almost;wedge ah;crazy coordination;if unequaled french;aha defense mmm;PROD;2024-08-20T15:01:35
10;among furthermore ah;beside;how against dinosaur;zowie remorseful gosh;but;ironclad where beanstalk;FRIEND;2024-08-21T02:21:20
